timestamp,pid,cpu_percent,mem_percent,rss_kb,threads
2026-09-12T23:38:06,2748,78.9,0.2,12092,3
2026-09-12T23:38:07,2748,88.3,1.5,78252,11
2026-09-12T23:38:08,2748,90.9,2.4,124404,11
2026-09-12T23:38:09,2748,92.5,7.3,371016,11
2026-09-12T23:38:10,2748,92.9,14.9,752228,11
2026-09-12T23:38:12,2748,93.1,24.3,1224748,11
2026-09-12T23:38:13,2748,93.3,29.3,1478620,11
2026-09-12T23:38:14,2748,93.9,31.8,1605268,11
2026-09-12T23:38:16,2748,95.2,33.3,1681336,11
2026-09-12T23:38:17,2748,95.3,35.2,1777300,11
2026-09-12T23:38:19,2748,95.4,38.5,1941144,11
2026-09-12T23:38:20,2748,95.5,40.3,2031256,11
2026-09-12T23:38:21,2748,95.6,41.3,2084556,11
2026-09-12T23:38:22,2748,95.7,43.4,2186868,11
2026-09-12T23:38:23,2748,95.6,44.9,2264796,11
2026-09-12T23:38:24,2748,95.6,47.3,2384048,11
2026-09-12T23:38:26,2748,97.3,49.7,2504912,11
2026-09-12T23:38:28,2748,97.4,52.3,2635344,11
2026-09-12T23:38:34,2748,87.2,53.4,2694028,11
2026-09-12T23:38:36,2748,86.3,54.0,2722752,11
2026-09-12T23:38:37,2748,86.3,54.7,2756588,11
2026-09-12T23:38:39,2748,86.8,55.9,2819040,11
2026-09-12T23:38:40,2748,86.9,57.2,2881728,11
2026-09-12T23:38:41,2748,87.0,60.7,3057552,11
2026-09-12T23:38:41,2748,87.2,62.1,3132016,11
2026-09-12T23:38:42,2748,87.4,63.0,3176352,11
2026-09-12T23:38:43,2748,87.6,63.9,3222376,11
2026-09-12T23:38:44,2748,87.8,64.8,3264708,11
2026-09-12T23:38:45,2748,88.0,66.4,3344272,11
2026-09-12T23:38:47,2748,88.5,68.0,3427960,11
2026-09-12T23:38:48,2748,88.7,69.1,3484152,11
2026-09-12T23:38:50,2748,88.8,69.7,3510776,11
2026-09-12T23:38:51,2748,88.7,70.3,3542940,11
2026-09-12T23:38:52,2748,88.8,71.9,3623688,11
2026-09-12T23:38:53,2748,89.2,72.1,3631576,11
2026-09-12T23:38:54,2748,89.1,74.0,3729840,11
2026-09-12T23:38:56,2748,96.2,74.6,3759168,14
2026-09-12T23:38:57,2748,101.0,74.6,3760732,14
2026-09-12T23:38:58,2748,102.0,75.4,3800040,14
2026-09-12T23:38:59,2748,102.0,77.6,3912260,14
2026-09-12T23:39:00,2748,102.0,77.8,3918532,14
2026-09-12T23:39:01,2748,101.0,79.5,4007824,14
2026-09-12T23:39:02,2748,101.0,81.6,4111992,14
2026-09-12T23:39:04,2748,101.0,81.4,4102488,14
2026-09-12T23:39:05,2748,100.0,82.1,4136376,14
